,0,1,2,3,4
0,-40.30769230769231,,-40.92,-40.53333333333333,-41.34615384615385
1,-40.791666666666664,-40.52,-40.464285714285715,-41.0,-40.029411764705884
2,-40.93103448275862,-40.94117647058823,-40.645161290322584,-40.23076923076923,-40.06666666666667
3,-40.71875,-40.0,-40.724137931034484,-41.0,-40.892857142857146
4,,-40.1,-40.8125,-41.0,-42.38095238095238
