,0,1,2,3,4,5,6,7,8,9,10
0,-62.0,,,,,,,,,,
1,-58.517857142857146,,,,,,,,,,-60.88235294117647
2,-56.976190476190474,,,,,,,,,,-55.76923076923077
3,-56.422222222222224,,,,,,,,,,-54.97674418604651
4,-61.12765957446808,,,,,,,,,,-52.276595744680854
5,-65.0,,,,,,,,,,-53.25
6,-62.4,,,,,,,,,,-52.339622641509436
7,-58.58904109589041,,,,,,,,,,-49.0
8,-60.68115942028985,,,,,,,,,,-50.21739130434783
9,-62.13725490196079,,,,,,,,,,-54.57692307692308
10,-63.0,,,,,,,,,,-54.627450980392155
11,-61.65573770491803,,,,,,,,,,-60.35849056603774
12,,,,,,,,,,,-56.935483870967744
13,-65.6046511627907,,,,,,,,,,-52.375
14,-55.84,,,,,,,,,,-51.04
15,-54.91379310344828,,,,,,,,,,-51.0
16,,-54.55,-53.75,-53.20754716981132,-53.85454545454545,-53.256410256410255,-54.01923076923077,-53.97959183673469,-54.875,-51.01428571428571,-51.01923076923077
17,,,,,,,,,,,-51.03921568627451
18,,,,,,,,,,,-50.1063829787234
